Data;Hora;Valor;Tipo de Venda;arquivo_de_referencia
30/08/2025;20:42;19.96;Crédito;agosto_credito_001_data_quadrante_02
30/08/2025;20:39;50.0;Crédito;agosto_credito_001_data_quadrante_03
30/08/2025;18:39;20.0;Crédito;agosto_credito_001_data_quadrante_04
30/08/2025;17:06;40.0;Crédito;agosto_credito_001_data_quadrante_05
01/08/2025;20:24;5.0;Crédito;agosto_credito_002_data_quadrante_02
01/08/2025;19:28;11.0;Crédito;agosto_credito_002_data_quadrante_03
01/08/2025;19:07;20.0;Crédito;agosto_credito_002_data_quadrante_04
01/08/2025;18:43;17.0;Crédito;agosto_credito_002_data_quadrante_05
01/08/2025;17:58;19.0;Crédito;agosto_credito_002_data_quadrante_06
01/08/2025;17:06;12.0;Crédito;agosto_credito_002_data_quadrante_07
01/08/2025;16:40;5.89;Crédito;agosto_credito_002_data_quadrante_08
01/08/2025;16:32;12.0;Crédito;agosto_credito_002_data_quadrante_09
01/08/2025;16:30;7.0;Crédito;agosto_credito_002_data_quadrante_10
01/08/2025;15:55;15.0;Crédito;agosto_credito_002_data_quadrante_11
01/08/2025;15:55;7.54;Crédito;agosto_credito_002_data_quadrante_12
02/08/2025;21:07;15.0;Crédito;agosto_credito_003_data_quadrante_02
02/08/2025;20:49;12.23;Crédito;agosto_credito_003_data_quadrante_03
02/08/2025;18:17;5.0;Crédito;agosto_credito_003_data_quadrante_04
02/08/2025;18:17;16.0;Crédito;agosto_credito_003_data_quadrante_05
02/08/2025;17:38;12.0;Crédito;agosto_credito_003_data_quadrante_06
02/08/2025;17:17;15.0;Crédito;agosto_credito_003_data_quadrante_07
02/08/2025;17:12;13.43;Crédito;agosto_credito_003_data_quadrante_08
04/08/2025;19:08;13.0;Crédito;agosto_credito_004_data_quadrante_02
04/08/2025;17:49;27.69;Crédito;agosto_credito_004_data_quadrante_03
04/08/2025;17:41;27.0;Crédito;agosto_credito_004_data_quadrante_04
04/08/2025;16:26;19.0;Crédito;agosto_credito_004_data_quadrante_05
04/08/2025;15:29;9.29;Crédito;agosto_credito_004_data_quadrante_06
05/08/2025;20:30;18.0;Crédito;agosto_credito_005_data_quadrante_02
05/08/2025;19:04;31.0;Crédito;agosto_credito_005_data_quadrante_03
05/08/2025;17:29;42.0;Crédito;agosto_credito_005_data_quadrante_04
05/08/2025;17:24;25.0;Crédito;agosto_credito_005_data_quadrante_05
05/08/2025;17:20;19.0;Crédito;agosto_credito_005_data_quadrante_06
05/08/2025;17:08;16.5;Crédito;agosto_credito_005_data_quadrante_07
06/08/2025;20:07;9.6;Crédito;agosto_credito_006_data_quadrante_02
06/08/2025;19:52;10.0;Crédito;agosto_credito_006_data_quadrante_03
06/08/2025;19:01;23.5;Crédito;agosto_credito_006_data_quadrante_04
06/08/2025;18:06;12.0;Crédito;agosto_credito_006_data_quadrante_05
06/08/2025;17:48;9.44;Crédito;agosto_credito_006_data_quadrante_06
06/08/2025;16:21;15.84;Crédito;agosto_credito_006_data_quadrante_07
07/08/2025;19:10;13.0;Crédito;agosto_credito_007_data_quadrante_02
07/08/2025;19:05;16.37;Crédito;agosto_credito_007_data_quadrante_03
08/08/2025;18:14;15.0;Crédito;agosto_credito_008_data_quadrante_02
11/08/2025;19:58;15.0;Crédito;agosto_credito_009_data_quadrante_02
11/08/2025;19:53;11.0;Crédito;agosto_credito_009_data_quadrante_03
11/08/2025;19:22;39.5;Crédito;agosto_credito_009_data_quadrante_04
11/08/2025;19:22;32.0;Crédito;agosto_credito_009_data_quadrante_05
11/08/2025;18:49;128.0;Crédito;agosto_credito_009_data_quadrante_06
11/08/2025;18:28;12.79;Crédito;agosto_credito_009_data_quadrante_07
11/08/2025;18:06;11.0;Crédito;agosto_credito_009_data_quadrante_08
11/08/2025;17:16;4.0;Crédito;agosto_credito_009_data_quadrante_09
12/08/2025;20:20;28.5;Crédito;agosto_credito_010_data_quadrante_02
12/08/2025;19:59;23.0;Crédito;agosto_credito_010_data_quadrante_03
12/08/2025;19:32;24.0;Crédito;agosto_credito_010_data_quadrante_04
12/08/2025;17:26;16.0;Crédito;agosto_credito_010_data_quadrante_05
12/08/2025;17:20;16.83;Crédito;agosto_credito_010_data_quadrante_06
12/08/2025;16:41;17.0;Crédito;agosto_credito_010_data_quadrante_07
12/08/2025;15:53;12.88;Crédito;agosto_credito_010_data_quadrante_08
13/08/2025;20:44;14.0;Crédito;agosto_credito_011_data_quadrante_02
13/08/2025;20:31;15.0;Crédito;agosto_credito_011_data_quadrante_03
13/08/2025;20:08;8.0;Crédito;agosto_credito_011_data_quadrante_04
13/08/2025;19:07;50.0;Crédito;agosto_credito_011_data_quadrante_05
13/08/2025;18:37;11.5;Crédito;agosto_credito_011_data_quadrante_06
13/08/2025;18:07;46.08;Crédito;agosto_credito_011_data_quadrante_07
13/08/2025;17:54;12.0;Crédito;agosto_credito_011_data_quadrante_08
13/08/2025;17:54;12.0;Crédito;agosto_credito_011_data_quadrante_09
13/08/2025;17:45;17.0;Crédito;agosto_credito_011_data_quadrante_10
13/08/2025;17:39;21.0;Crédito;agosto_credito_011_data_quadrante_11
13/08/2025;16:52;8.0;Crédito;agosto_credito_011_data_quadrante_12
13/08/2025;16:39;17.0;Crédito;agosto_credito_011_data_quadrante_13
13/08/2025;16:33;12.0;Crédito;agosto_credito_011_data_quadrante_14
13/08/2025;16:32;16.5;Crédito;agosto_credito_011_data_quadrante_15
13/08/2025;15:33;34.23;Crédito;agosto_credito_011_data_quadrante_16
14/08/2025;19:45;23.0;Crédito;agosto_credito_012_data_quadrante_02
14/08/2025;18:37;14.0;Crédito;agosto_credito_012_data_quadrante_03
14/08/2025;17:37;7.0;Crédito;agosto_credito_012_data_quadrante_04
14/08/2025;17:35;25.5;Crédito;agosto_credito_012_data_quadrante_05
14/08/2025;16:47;14.44;Crédito;agosto_credito_012_data_quadrante_06
14/08/2025;16:41;10.0;Crédito;agosto_credito_012_data_quadrante_07
14/08/2025;16:25;10.39;Crédito;agosto_credito_012_data_quadrante_08
14/08/2025;15:41;8.5;Crédito;agosto_credito_012_data_quadrante_09
14/08/2025;15:11;7.0;Crédito;agosto_credito_012_data_quadrante_10
