Data;Hora;Valor;Tipo de Venda;arquivo_de_referencia
01/08/2025;20:55;15.0;Débito;agosto_debito_001_data_quadrante_02
01/08/2025;20:47;15.0;Débito;agosto_debito_001_data_quadrante_03
01/08/2025;20:44;23.0;Débito;agosto_debito_001_data_quadrante_04
01/08/2025;20:40;9.38;Débito;agosto_debito_001_data_quadrante_05
01/08/2025;20:35;18.0;Débito;agosto_debito_001_data_quadrante_06
01/08/2025;19:40;21.34;Débito;agosto_debito_001_data_quadrante_07
01/08/2025;17:55;11.0;Débito;agosto_debito_001_data_quadrante_08
01/08/2025;16:46;7.0;Débito;agosto_debito_001_data_quadrante_09
01/08/2025;16:36;9.0;Débito;agosto_debito_001_data_quadrante_10
01/08/2025;16:35;32.0;Débito;agosto_debito_001_data_quadrante_11
01/08/2025;16:09;13.0;Débito;agosto_debito_001_data_quadrante_12
01/08/2025;16:05;38.0;Débito;agosto_debito_001_data_quadrante_13
01/08/2025;15:56;23.0;Débito;agosto_debito_001_data_quadrante_14
01/08/2025;15:39;18.0;Débito;agosto_debito_001_data_quadrante_15
02/08/2025;21:06;13.0;Débito;agosto_debito_002_data_quadrante_02
02/08/2025;20:22;17.29;Débito;agosto_debito_002_data_quadrante_03
02/08/2025;20:12;20.0;Débito;agosto_debito_002_data_quadrante_04
02/08/2025;19:26;7.73;Débito;agosto_debito_002_data_quadrante_05
02/08/2025;19:06;7.0;Débito;agosto_debito_002_data_quadrante_06
02/08/2025;18:33;51.0;Débito;agosto_debito_002_data_quadrante_07
02/08/2025;18:17;18.0;Débito;agosto_debito_002_data_quadrante_08
02/08/2025;16:58;8.92;Débito;agosto_debito_002_data_quadrante_09
04/08/2025;21:39;5.0;Débito;agosto_debito_003_data_quadrante_02
04/08/2025;21:18;7.0;Débito;agosto_debito_003_data_quadrante_03
04/08/2025;20:38;22.0;Débito;agosto_debito_003_data_quadrante_04
04/08/2025;19:01;14.5;Débito;agosto_debito_003_data_quadrante_05
04/08/2025;18:16;34.0;Débito;agosto_debito_003_data_quadrante_06
04/08/2025;16:58;16.5;Débito;agosto_debito_003_data_quadrante_07
04/08/2025;16:17;13.43;Débito;agosto_debito_003_data_quadrante_08
04/08/2025;15:53;20.06;Débito;agosto_debito_003_data_quadrante_09
05/08/2025;21:03;4.5;Débito;agosto_debito_004_data_quadrante_02
05/08/2025;21:01;37.0;Débito;agosto_debito_004_data_quadrante_03
05/08/2025;20:46;12.0;Débito;agosto_debito_004_data_quadrante_04
05/08/2025;20:45;8.92;Débito;agosto_debito_004_data_quadrante_05
05/08/2025;20:43;16.0;Débito;agosto_debito_004_data_quadrante_06
05/08/2025;20:30;18.0;Débito;agosto_debito_004_data_quadrante_07
05/08/2025;19:49;9.47;Débito;agosto_debito_004_data_quadrante_08
05/08/2025;19:13;14.26;Débito;agosto_debito_004_data_quadrante_09
05/08/2025;17:20;13.0;Débito;agosto_debito_004_data_quadrante_10
05/08/2025;17:19;12.5;Débito;agosto_debito_004_data_quadrante_11
05/08/2025;17:02;8.0;Débito;agosto_debito_004_data_quadrante_12
06/08/2025;20:47;9.04;Débito;agosto_debito_005_data_quadrante_02
06/08/2025;20:13;15.0;Débito;agosto_debito_005_data_quadrante_03
06/08/2025;20:00;24.0;Débito;agosto_debito_005_data_quadrante_04
06/08/2025;19:51;12.0;Débito;agosto_debito_005_data_quadrante_05
06/08/2025;19:46;8.4;Débito;agosto_debito_005_data_quadrante_06
06/08/2025;19:42;17.5;Débito;agosto_debito_005_data_quadrante_07
06/08/2025;19:39;19.0;Débito;agosto_debito_005_data_quadrante_08
06/08/2025;18:58;8.56;Débito;agosto_debito_005_data_quadrante_09
06/08/2025;18:02;11.0;Débito;agosto_debito_005_data_quadrante_10
06/08/2025;17:57;7.0;Débito;agosto_debito_005_data_quadrante_11
06/08/2025;17:24;11.84;Débito;agosto_debito_005_data_quadrante_12
06/08/2025;16:34;10.0;Débito;agosto_debito_005_data_quadrante_13
06/08/2025;16:28;4.0;Débito;agosto_debito_005_data_quadrante_14
07/08/2025;20:47;8.0;Débito;agosto_debito_006_data_quadrante_02
07/08/2025;20:46;6.0;Débito;agosto_debito_006_data_quadrante_03
07/08/2025;20:45;19.0;Débito;agosto_debito_006_data_quadrante_04
07/08/2025;19:52;29.25;Débito;agosto_debito_006_data_quadrante_05
07/08/2025;19:47;14.5;Débito;agosto_debito_006_data_quadrante_06
07/08/2025;19:36;13.71;Débito;agosto_debito_006_data_quadrante_07
07/08/2025;19:33;30.0;Débito;agosto_debito_006_data_quadrante_08
07/08/2025;19:31;13.0;Débito;agosto_debito_006_data_quadrante_09
07/08/2025;18:12;7.0;Débito;agosto_debito_006_data_quadrante_10
07/08/2025;18:00;7.6;Débito;agosto_debito_006_data_quadrante_11
08/08/2025;20:47;4.5;Débito;agosto_debito_007_data_quadrante_02
08/08/2025;19:31;7.0;Débito;agosto_debito_007_data_quadrante_03
08/08/2025;18:39;14.5;Débito;agosto_debito_007_data_quadrante_04
08/08/2025;18:18;28.0;Débito;agosto_debito_007_data_quadrante_05
08/08/2025;18:15;24.0;Débito;agosto_debito_007_data_quadrante_06
08/08/2025;17:53;4.32;Débito;agosto_debito_007_data_quadrante_07
08/08/2025;17:48;9.0;Débito;agosto_debito_007_data_quadrante_08
08/08/2025;16:42;8.0;Débito;agosto_debito_007_data_quadrante_09
11/08/2025;20:58;9.57;Débito;agosto_debito_008_data_quadrante_02
11/08/2025;20:44;4.42;Débito;agosto_debito_008_data_quadrante_03
11/08/2025;20:41;17.0;Débito;agosto_debito_008_data_quadrante_04
11/08/2025;19:54;8.5;Débito;agosto_debito_008_data_quadrante_05
11/08/2025;19:42;4.5;Débito;agosto_debito_008_data_quadrante_06
11/08/2025;18:23;55.46;Débito;agosto_debito_008_data_quadrante_07
11/08/2025;18:09;14.5;Débito;agosto_debito_008_data_quadrante_08
11/08/2025;18:08;18.0;Débito;agosto_debito_008_data_quadrante_09
11/08/2025;17:58;28.33;Débito;agosto_debito_008_data_quadrante_10
11/08/2025;17:57;16.0;Débito;agosto_debito_008_data_quadrante_11
11/08/2025;16:05;7.0;Débito;agosto_debito_008_data_quadrante_12
11/08/2025;16:04;7.0;Débito;agosto_debito_008_data_quadrante_13
12/08/2025;20:56;13.0;Débito;agosto_debito_009_data_quadrante_02
12/08/2025;20:52;13.5;Débito;agosto_debito_009_data_quadrante_03
