Data;Hora;Valor;Tipo de Venda;Arquivo de Referência
06/09/2025;18:29;R$ 67,50;Débito;debito (1).jpg
06/09/2025;18:40;R$ 4,50;Débito;debito (1).jpg
06/09/2025;19:41;R$ 20,00;Débito;debito (1).jpg
06/09/2025;19:54;R$ 18,00;Débito;debito (1).jpg
06/09/2025;20:37;R$ 7,00;Débito;debito (1).jpg
06/09/2025;21:14;R$ 27,50;Débito;debito (1).jpg
20/09/2025;19:29;R$ 28,00;Débito;debito (10).jpg
20/09/2025;19:46;R$ 14,53;Débito;debito (10).jpg
20/09/2025;20:15;R$ 21,00;Débito;debito (10).jpg
22/09/2025;15:23;R$ 8,50;Débito;debito (11).jpg
22/09/2025;17:27;R$ 5,00;Débito;debito (11).jpg
22/09/2025;18:02;R$ 9,00;Débito;debito (11).jpg
22/09/2025;18:23;R$ 4,00;Débito;debito (11).jpg
22/09/2025;19:53;R$ 34,50;Débito;debito (11).jpg
22/09/2025;19:58;R$ 23,50;Débito;debito (11).jpg
22/09/2025;20:01;R$ 17,80;Débito;debito (11).jpg
22/09/2025;20:04;R$ 6,50;Débito;debito (11).jpg
22/09/2025;20:36;R$ 9,50;Débito;debito (11).jpg
22/09/2025;20:46;R$ 22,00;Débito;debito (11).jpg
22/09/2025;21:12;R$ 8,50;Débito;debito (11).jpg
22/09/2025;20:11;R$ 9,00;Débito;debito (11).jpg
23/09/2025;15:56;R$ 15,50;Débito;debito (12).jpg
23/09/2025;16:14;R$ 8,00;Débito;debito (12).jpg
23/09/2025;16:41;R$ 16,00;Débito;debito (12).jpg
23/09/2025;17:04;R$ 13,00;Débito;debito (12).jpg
23/09/2025;17:59;R$ 19,50;Débito;debito (12).jpg
23/09/2025;19:00;R$ 19,00;Débito;debito (12).jpg
23/09/2025;20:08;R$ 18,00;Débito;debito (12).jpg
23/09/2025;20:30;R$ 11,00;Débito;debito (12).jpg
23/09/2025;20:42;R$ 10,00;Débito;debito (12).jpg
23/09/2025;20:25;R$ 20,50;Débito;debito (12).jpg
24/09/2025;17:05;R$ 9,00;Débito;debito (13).jpg
24/09/2025;17:30;R$ 12,50;Débito;debito (13).jpg
24/09/2025;18:30;R$ 18,00;Débito;debito (13).jpg
24/09/2025;20:07;R$ 14,00;Débito;debito (13).jpg
24/09/2025;20:37;R$ 18,00;Débito;debito (13).jpg
24/09/2025;17:30;R$ 8,50;Débito;debito (13).jpg
26/09/2025;16:23;R$ 10,50;Débito;debito (14).jpg
26/09/2025;16:30;R$ 30,50;Débito;debito (14).jpg
26/09/2025;16:42;R$ 4,00;Débito;debito (14).jpg
26/09/2025;16:52;R$ 11,00;Débito;debito (14).jpg
26/09/2025;17:47;R$ 13,00;Débito;debito (14).jpg
26/09/2025;17:48;R$ 12,00;Débito;debito (14).jpg
26/09/2025;17:59;R$ 16,00;Débito;debito (14).jpg
26/09/2025;18:00;R$ 17,00;Débito;debito (14).jpg
26/09/2025;20:46;R$ 8,00;Débito;debito (14).jpg
26/09/2025;20:55;R$ 8,00;Débito;debito (14).jpg
26/09/2025;19:14;R$ 16,00;Débito;debito (14).jpg
27/09/2025;18:14;R$ 33,00;Débito;debito (15).jpg
27/09/2025;18:27;R$ 27,00;Débito;debito (15).jpg
27/09/2025;18:55;R$ 13,00;Débito;debito (15).jpg
27/09/2025;19:23;R$ 14,00;Débito;debito (15).jpg
27/09/2025;19:54;R$ 14,00;Débito;debito (15).jpg
27/09/2025;20:08;R$ 20,00;Débito;debito (15).jpg
27/09/2025;20:12;R$ 13,00;Débito;debito (15).jpg
29/09/2025;15:24;R$ 15,54;Débito;debito (16).jpg
29/09/2025;16:41;R$ 4,00;Débito;debito (16).jpg
29/09/2025;16:46;R$ 18,00;Débito;debito (16).jpg
30/09/2025;16:47;R$ 4,00;Débito;debito (17).jpg
30/09/2025;17:40;R$ 4,00;Débito;debito (17).jpg
30/09/2025;18:03;R$ 20,00;Débito;debito (17).jpg
30/09/2025;18:24;R$ 16,92;Débito;debito (17).jpg
30/09/2025;18:58;R$ 16,00;Débito;debito (17).jpg
30/09/2025;18:59;R$ 8,00;Débito;debito (17).jpg
30/09/2025;20:46;R$ 22,00;Débito;debito (17).jpg
30/09/2025;20:47;R$ 8,00;Débito;debito (17).jpg
30/09/2025;21:36;R$ 16,00;Débito;debito (17).jpg
08/09/2025;16:00;R$ 4,00;Débito;debito (2).jpg
08/09/2025;17:03;R$ 23,00;Débito;debito (2).jpg
08/09/2025;17:14;R$ 4,00;Débito;debito (2).jpg
